"Product/Service Name","Category","SKU","Type","Sales Description","Sales Price","Income Account","Purchase Description","Purchase Cost","Expense Account","Taxable"
"Formation sur mesure - essentiel","Formation","FOR-0027","Service","Formation sur mesure - essentiel / jour","719,95","Revenus des dépenses facturables","Formation sur mesure - essentiel","388,77","Subcontractors - COS","N"
"Étude de faisabilité - hors garantie","Services professionnels","SER-0028","Service","Étude de faisabilité - hors garantie / h","119,95","Revenus des dépenses facturables","Étude de faisabilité - hors garantie","58,78","Subcontractors - COS","N"
"Certification interne - hors garantie","Formation","FOR-0029","Service","Certification interne - hors garantie / jour","1740,00","Revenus des dépenses facturables","Certification interne - hors garantie","974,40","Cost of Labour - COS","N"
"Frais de déplacement - hors garantie","Livraison et déplacement","LIV-0030","Service","Frais de déplacement - hors garantie","224,95","Shipping and Delivery Income","Frais de déplacement - hors garantie","103,48","Freight and delivery - COS","N"
"Configuration de poste - professionnel","Soutien technique","SOU-0031","Service","Configuration de poste - professionnel / h","89,95","Revenus des dépenses facturables","Configuration de poste - professionnel","44,98","Cost of Labour - COS","N"
"Barre d'alimentation - fin de semaine","Fournitures","FOU-0032","Non-inventory","Barre d'alimentation - fin de semaine","164,95","Sales","Barre d'alimentation - fin de semaine","102,27","Purchases - COS","N"
"Contrat d'entretien mensuel - hors garantie","Entretien et contrats","ENT-0033","Service","Contrat d'entretien mensuel - hors garantie / mois","1850,00","Services","Contrat d'entretien mensuel - hors garantie","684,50","Subcontractors - COS","N"
"Consultation stratégique - essentiel","Services professionnels","SER-0034","Service","Consultation stratégique - essentiel / h","189,95","Revenus des dépenses facturables","Consultation stratégique - essentiel","93,08","Cost of Labour - COS","N"
"Kilométrage - reconditionné","Livraison et déplacement","LIV-0035","Service","Kilométrage - reconditionné","134,95","Shipping and Delivery Income","Kilométrage - reconditionné","58,03","Freight and delivery - COS","N"
"Mise à niveau annuelle - avancé","Formation","FOR-0036","Service","Mise à niveau annuelle - avancé / jour","1180,00","Services","Mise à niveau annuelle - avancé","460,20","Cost of Labour - COS","N"
"Routeur d'entreprise - 3 ans","Réseau","RÉS-0037","Non-inventory","Routeur d'entreprise - 3 ans","364,95","Sales","Routeur d'entreprise - 3 ans","218,97","Supplies and materials - COS","N"
"Disque SSD externe - 3 ans","Matériel informatique","MAT-0038","Non-inventory","Disque SSD externe - 3 ans","2610,00","Revenus provenant de la vente de produits","Disque SSD externe - 3 ans","1566,00","Purchases - COS","N"
"Plan de continuité - 1 an","Entretien et contrats","ENT-0039","Service","Plan de continuité - 1 an / mois","709,95","Services","Plan de continuité - 1 an","305,28","Subcontractors - COS","N"
"Installation sur place","Livraison et déplacement","LIV-0040","Service","Installation sur place","139,95","Shipping and Delivery Income","Installation sur place","48,98","Freight and delivery - COS","N"
"Expertise réglementaire - petite entreprise","Services professionnels","SER-0041","Service","Expertise réglementaire - petite entreprise / h","89,95","Services","Expertise réglementaire - petite entreprise","43,18","Subcontractors - COS","N"
"Audit de sécurité - essentiel","Services professionnels","SER-0042","Service","Audit de sécurité - essentiel / h","179,95","Revenus des dépenses facturables","Audit de sécurité - essentiel","98,97","Subcontractors - COS","N"
"Antivirus poste de travail - 3 ans","Licences et abonnements","LIC-0043","Non-inventory","Antivirus poste de travail - 3 ans / an","839,95","Revenus provenant de la vente de produits","Antivirus poste de travail - 3 ans","571,17","Purchases - COS","N"
"Point d'accès sans fil - reconditionné","Réseau","RÉS-0044","Non-inventory","Point d'accès sans fil - reconditionné","2640,00","Sales","Point d'accès sans fil - reconditionné","1663,20","Supplies and materials - COS","N"
"Kilométrage - 1 an","Livraison et déplacement","LIV-0045","Service","Kilométrage - 1 an","229,95","Shipping and Delivery Income","Kilométrage - 1 an","133,37","Freight and delivery - COS","N"
"Clé USB 64 Go - avancé","Fournitures","FOU-0046","Non-inventory","Clé USB 64 Go - avancé","149,95","Sales","Clé USB 64 Go - avancé","98,97","Purchases - COS","N"
"Mise à niveau applicative - 1 an","Développement","DÉV-0047","Service","Mise à niveau applicative - 1 an / h","124,95","Services","Mise à niveau applicative - 1 an","68,72","Cost of Labour - COS","N"
"Refonte d'interface - fin de semaine","Développement","DÉV-0048","Service","Refonte d'interface - fin de semaine / h","154,95","Revenus des dépenses facturables","Refonte d'interface - fin de semaine","55,78","Cost of Labour - COS","N"
"Routeur d'entreprise - gamme A","Réseau","RÉS-0049","Non-inventory","Routeur d'entreprise - gamme A","2860,00","Sales","Routeur d'entreprise - gamme A","2087,80","Supplies and materials - COS","N"
"Refonte d'interface - urgence","Développement","DÉV-0050","Service","Refonte d'interface - urgence / h","124,95","Revenus des dépenses facturables","Refonte d'interface - urgence","68,72","Subcontractors - COS","N"
"Numériseur de documents - 1 an","Matériel informatique","MAT-0051","Non-inventory","Numériseur de documents - 1 an","2850,00","Sales","Numériseur de documents - 1 an","1567,50","Purchases - COS","N"
"Développement Web - 3 ans","Développement","DÉV-0052","Service","Développement Web - 3 ans / h","169,95","Services","Développement Web - 3 ans","93,47","Cost of Labour - COS","N"
"Accompagnement au changement - 1 an","Services professionnels","SER-0053","Service","Accompagnement au changement - 1 an / h","109,95","Services","Accompagnement au changement - 1 an","64,87","Cost of Labour - COS","N"
"Formation en ligne - gamme B","Formation","FOR-0054","Service","Formation en ligne - gamme B / jour","659,95","Services","Formation en ligne - gamme B","323,38","Subcontractors - COS","N"
"Révision de processus - hors garantie","Services professionnels","SER-0055","Service","Révision de processus - hors garantie / h","174,95","Services","Révision de processus - hors garantie","89,22","Cost of Labour - COS","N"
"Assistance prioritaire - gamme B","Soutien technique","SOU-0056","Service","Assistance prioritaire - gamme B / h","124,95","Revenus des dépenses facturables","Assistance prioritaire - gamme B","56,23","Subcontractors - COS","N"
"Atelier pratique - essentiel","Formation","FOR-0057","Service","Atelier pratique - essentiel / jour","1610,00","Revenus des dépenses facturables","Atelier pratique - essentiel","724,50","Subcontractors - COS","N"
"Suite de sécurité - grande entreprise","Licences et abonnements","LIC-0058","Non-inventory","Suite de sécurité - grande entreprise / an","229,95","Revenus provenant de la vente de produits","Suite de sécurité - grande entreprise","147,17","Coût des produits vendus","N"
"Kilométrage - essentiel","Livraison et déplacement","LIV-0059","Service","Kilométrage - essentiel","114,95","Shipping and Delivery Income","Kilométrage - essentiel","48,28","Freight and delivery - COS","N"
"Configuration de poste - essentiel","Soutien technique","SOU-0060","Service","Configuration de poste - essentiel / h","59,95","Revenus des dépenses facturables","Configuration de poste - essentiel","29,98","Cost of Labour - COS","N"
"Ordinateur de bureau - standard","Matériel informatique","MAT-0061","Non-inventory","Ordinateur de bureau - standard","2430,00","Revenus provenant de la vente de produits","Ordinateur de bureau - standard","1871,10","Coût des produits vendus","N"
"Formation sécurité - 1 an","Formation","FOR-0062","Service","Formation sécurité - 1 an / jour","779,95","Services","Formation sécurité - 1 an","358,78","Cost of Labour - COS","N"
"Surveillance continue - 1 an","Entretien et contrats","ENT-0063","Service","Surveillance continue - 1 an / mois","1570,00","Services","Surveillance continue - 1 an","847,80","Subcontractors - COS","N"
"Formation bureautique - professionnel","Formation","FOR-0064","Service","Formation bureautique - professionnel / jour","1050,00","Services","Formation bureautique - professionnel","451,50","Cost of Labour - COS","N"
"Rallonge électrique - reconditionné","Fournitures","FOU-0065","Non-inventory","Rallonge électrique - reconditionné","154,95","Revenus provenant de la vente de produits","Rallonge électrique - reconditionné","111,56","Supplies and materials - COS","N"
"Récupération de données - professionnel","Soutien technique","SOU-0066","Service","Récupération de données - professionnel / h","104,95","Services","Récupération de données - professionnel","58,77","Subcontractors - COS","N"
"Récupération de données - gamme B","Soutien technique","SOU-0067","Service","Récupération de données - gamme B / h","69,95","Services","Récupération de données - gamme B","37,07","Cost of Labour - COS","N"
"Veille de sécurité - sur mesure","Entretien et contrats","ENT-0068","Service","Veille de sécurité - sur mesure / mois","1040,00","Services","Veille de sécurité - sur mesure","613,60","Subcontractors - COS","N"
"Imprimante laser - reconditionné","Matériel informatique","MAT-0069","Non-inventory","Imprimante laser - reconditionné","1900,00","Revenus provenant de la vente de produits","Imprimante laser - reconditionné","1292,00","Supplies and materials - COS","N"
"Filtrage de courriel - urgence","Licences et abonnements","LIC-0070","Non-inventory","Filtrage de courriel - urgence / an","434,95","Revenus provenant de la vente de produits","Filtrage de courriel - urgence","326,21","Coût des produits vendus","N"
"Atelier de cadrage - petite entreprise","Services professionnels","SER-0071","Service","Atelier de cadrage - petite entreprise / h","94,95","Services","Atelier de cadrage - petite entreprise","35,13","Subcontractors - COS","N"
"Révision de processus - standard","Services professionnels","SER-0072","Service","Révision de processus - standard / h","189,95","Services","Révision de processus - standard","70,28","Cost of Labour - COS","N"
"Livraison express - professionnel","Livraison et déplacement","LIV-0073","Service","Livraison express - professionnel","229,95","Shipping and Delivery Income","Livraison express - professionnel","108,08","Freight and delivery - COS","N"
"Développement mobile - fin de semaine","Développement","DÉV-0074","Service","Développement mobile - fin de semaine / h","169,95","Revenus des dépenses facturables","Développement mobile - fin de semaine","91,77","Cost of Labour - COS","N"
"Réinstallation de système - hors garantie","Soutien technique","SOU-0075","Service","Réinstallation de système - hors garantie / h","89,95","Revenus des dépenses facturables","Réinstallation de système - hors garantie","46,77","Cost of Labour - COS","N"
"Hébergement géré - reconditionné","Entretien et contrats","ENT-0076","Service","Hébergement géré - reconditionné / mois","1680,00","Revenus des dépenses facturables","Hébergement géré - reconditionné","688,80","Cost of Labour - COS","N"
"Numériseur de documents - avancé","Matériel informatique","MAT-0077","Non-inventory","Numériseur de documents - avancé","1270,00","Sales","Numériseur de documents - avancé","787,40","Coût des produits vendus","N"
"Correction d'anomalies - professionnel","Développement","DÉV-0078","Service","Correction d'anomalies - professionnel / h","159,95","Services","Correction d'anomalies - professionnel","78,38","Cost of Labour - COS","N"
"Consultation stratégique - avancé","Services professionnels","SER-0079","Service","Consultation stratégique - avancé / h","234,95","Services","Consultation stratégique - avancé","93,98","Cost of Labour - COS","N"
"Panneau de brassage - sur mesure","Réseau","RÉS-0080","Non-inventory","Panneau de brassage - sur mesure","694,95","Sales","Panneau de brassage - sur mesure","430,87","Purchases - COS","N"
"Refonte d'interface - reconditionné","Développement","DÉV-0081","Service","Refonte d'interface - reconditionné / h","124,95","Services","Refonte d'interface - reconditionné","71,22","Subcontractors - COS","N"
"Mise à niveau annuelle - gamme A","Formation","FOR-0082","Service","Mise à niveau annuelle - gamme A / jour","1490,00","Revenus des dépenses facturables","Mise à niveau annuelle - gamme A","536,40","Subcontractors - COS","N"
"Formation sur mesure - 3 ans","Formation","FOR-0083","Service","Formation sur mesure - 3 ans / jour","1420,00","Revenus des dépenses facturables","Formation sur mesure - 3 ans","681,60","Cost of Labour - COS","N"
"Coaching individuel - 1 an","Formation","FOR-0084","Service","Coaching individuel - 1 an / jour","1800,00","Services","Coaching individuel - 1 an","954,00","Subcontractors - COS","N"
"Suite de sécurité - reconditionné","Licences et abonnements","LIC-0085","Non-inventory","Suite de sécurité - reconditionné / an","269,95","Sales","Suite de sécurité - reconditionné","161,97","Supplies and materials - COS","N"
"Certification interne - grande entreprise","Formation","FOR-0086","Service","Certification interne - grande entreprise / jour","789,95","Revenus des dépenses facturables","Certification interne - grande entreprise","300,18","Cost of Labour - COS","N"
"Refonte d'interface - grande entreprise","Développement","DÉV-0087","Service","Refonte d'interface - grande entreprise / h","159,95","Services","Refonte d'interface - grande entreprise","70,38","Subcontractors - COS","N"
"Optimisation de requêtes - reconditionné","Développement","DÉV-0088","Service","Optimisation de requêtes - reconditionné / h","139,95","Revenus des dépenses facturables","Optimisation de requêtes - reconditionné","62,98","Subcontractors - COS","N"
"Numériseur de documents - grande entreprise","Matériel informatique","MAT-0089","Non-inventory","Numériseur de documents - grande entreprise","2750,00","Sales","Numériseur de documents - grande entreprise","1787,50","Coût des produits vendus","N"
"Certificat SSL - professionnel","Licences et abonnements","LIC-0090","Non-inventory","Certificat SSL - professionnel / an","289,95","Sales","Certificat SSL - professionnel","191,37","Supplies and materials - COS","N"
"Plan de relève informatique - grande entreprise","Services professionnels","SER-0091","Service","Plan de relève informatique - grande entreprise / h","104,95","Services","Plan de relève informatique - grande entreprise","37,78","Subcontractors - COS","N"
"Frais de transport interurbain - avancé","Livraison et déplacement","LIV-0092","Service","Frais de transport interurbain - avancé","189,95","Shipping and Delivery Income","Frais de transport interurbain - avancé","93,08","Freight and delivery - COS","N"
"Accompagnement au changement - hors garantie","Services professionnels","SER-0093","Service","Accompagnement au changement - hors garantie / h","149,95","Revenus des dépenses facturables","Accompagnement au changement - hors garantie","77,97","Subcontractors - COS","N"
"Formation sécurité - petite entreprise","Formation","FOR-0094","Service","Formation sécurité - petite entreprise / jour","1150,00","Services","Formation sécurité - petite entreprise","402,50","Cost of Labour - COS","N"
"Casque d'écoute - hors garantie","Matériel informatique","MAT-0095","Non-inventory","Casque d'écoute - hors garantie","1360,00","Revenus provenant de la vente de produits","Casque d'écoute - hors garantie","761,60","Coût des produits vendus","N"
"Antivirus poste de travail - 1 an","Licences et abonnements","LIC-0096","Non-inventory","Antivirus poste de travail - 1 an / an","369,95","Sales","Antivirus poste de travail - 1 an","221,97","Purchases - COS","N"
"Chiffon antistatique","Fournitures","FOU-0097","Non-inventory","Chiffon antistatique","114,95","Revenus provenant de la vente de produits","Chiffon antistatique","80,46","Purchases - COS","N"
"Papier multiusage - fin de semaine","Fournitures","FOU-0098","Non-inventory","Papier multiusage - fin de semaine","159,95","Revenus provenant de la vente de produits","Papier multiusage - fin de semaine","100,77","Purchases - COS","N"
"Livraison le lendemain - essentiel","Livraison et déplacement","LIV-0099","Service","Livraison le lendemain - essentiel","109,95","Shipping and Delivery Income","Livraison le lendemain - essentiel","61,57","Freight and delivery - COS","N"
"Rallonge électrique - grande entreprise","Fournitures","FOU-0100","Non-inventory","Rallonge électrique - grande entreprise","24,95","Revenus provenant de la vente de produits","Rallonge électrique - grande entreprise","13,72","Supplies and materials - COS","N"
"Forfait de soutien annuel - 3 ans","Entretien et contrats","ENT-0101","Service","Forfait de soutien annuel - 3 ans / mois","2280,00","Revenus des dépenses facturables","Forfait de soutien annuel - 3 ans","1254,00","Cost of Labour - COS","N"
"Forfait de soutien annuel","Entretien et contrats","ENT-0102","Service","Forfait de soutien annuel / mois","644,95","Revenus des dépenses facturables","Forfait de soutien annuel","361,17","Cost of Labour - COS","N"
"Cartouche couleur - fin de semaine","Fournitures","FOU-0103","Non-inventory","Cartouche couleur - fin de semaine","69,95","Sales","Cartouche couleur - fin de semaine","43,37","Coût des produits vendus","N"
"Développement de connecteur - gamme B","Développement","DÉV-0104","Service","Développement de connecteur - gamme B / h","159,95","Revenus des dépenses facturables","Développement de connecteur - gamme B","65,58","Cost of Labour - COS","N"
"Gestion de mots de passe - hors garantie","Licences et abonnements","LIC-0105","Non-inventory","Gestion de mots de passe - hors garantie / an","519,95","Revenus provenant de la vente de produits","Gestion de mots de passe - hors garantie","291,17","Supplies and materials - COS","N"
"Boîtier de rangement - fin de semaine","Fournitures","FOU-0106","Non-inventory","Boîtier de rangement - fin de semaine","99,95","Sales","Boîtier de rangement - fin de semaine","71,96","Coût des produits vendus","N"
"Gestion des sauvegardes - urgence","Soutien technique","SOU-0107","Service","Gestion des sauvegardes - urgence / h","59,95","Services","Gestion des sauvegardes - urgence","27,58","Subcontractors - COS","N"
"Coaching individuel - gamme A","Formation","FOR-0108","Service","Coaching individuel - gamme A / jour","1800,00","Revenus des dépenses facturables","Coaching individuel - gamme A","720,00","Cost of Labour - COS","N"
"Antenne extérieure - reconditionné","Réseau","RÉS-0109","Non-inventory","Antenne extérieure - reconditionné","1380,00","Sales","Antenne extérieure - reconditionné","1007,40","Purchases - COS","N"
"Antivirus poste de travail - avancé","Licences et abonnements","LIC-0110","Non-inventory","Antivirus poste de travail - avancé / an","919,95","Sales","Antivirus poste de travail - avancé","533,57","Purchases - COS","N"
"Récupération de matériel","Livraison et déplacement","LIV-0111","Service","Récupération de matériel","219,95","Shipping and Delivery Income","Récupération de matériel","101,18","Freight and delivery - COS","N"
"Souris sans fil - standard","Matériel informatique","MAT-0112","Non-inventory","Souris sans fil - standard","1510,00","Sales","Souris sans fil - standard","996,60","Coût des produits vendus","N"
"Développement mobile","Développement","DÉV-0113","Service","Développement mobile / h","104,95","Services","Développement mobile","43,03","Cost of Labour - COS","N"
"Frais de déplacement - gamme A","Livraison et déplacement","LIV-0114","Service","Frais de déplacement - gamme A","44,95","Shipping and Delivery Income","Frais de déplacement - gamme A","19,33","Freight and delivery - COS","N"
"Reprise d'équipement - grande entreprise","Livraison et déplacement","LIV-0115","Service","Reprise d'équipement - grande entreprise","119,95","Shipping and Delivery Income","Reprise d'équipement - grande entreprise","56,38","Freight and delivery - COS","N"
"Garantie prolongée - sur mesure","Entretien et contrats","ENT-0116","Service","Garantie prolongée - sur mesure / mois","919,95","Services","Garantie prolongée - sur mesure","386,38","Subcontractors - COS","N"
"Station d'accueil - gamme A","Matériel informatique","MAT-0117","Non-inventory","Station d'accueil - gamme A","2640,00","Sales","Station d'accueil - gamme A","2006,40","Purchases - COS","N"
"Clé USB 64 Go - gamme B","Fournitures","FOU-0118","Non-inventory","Clé USB 64 Go - gamme B","44,95","Sales","Clé USB 64 Go - gamme B","26,52","Supplies and materials - COS","N"
"Injecteur PoE","Réseau","RÉS-0119","Non-inventory","Injecteur PoE","724,95","Sales","Injecteur PoE","507,46","Purchases - COS","N"
"Infogérance complète - urgence","Entretien et contrats","ENT-0120","Service","Infogérance complète - urgence / mois","644,95","Revenus des dépenses facturables","Infogérance complète - urgence","367,62","Subcontractors - COS","N"
"Expertise réglementaire","Services professionnels","SER-0121","Service","Expertise réglementaire / h","124,95","Revenus des dépenses facturables","Expertise réglementaire","72,47","Subcontractors - COS","N"
"Ordinateur portable 14 po - sur mesure","Matériel informatique","MAT-0122","Non-inventory","Ordinateur portable 14 po - sur mesure","1290,00","Revenus provenant de la vente de produits","Ordinateur portable 14 po - sur mesure","761,10","Coût des produits vendus","N"
"Casque d'écoute - reconditionné","Matériel informatique","MAT-0123","Non-inventory","Casque d'écoute - reconditionné","1290,00","Sales","Casque d'écoute - reconditionné","967,50","Coût des produits vendus","N"
"Séance de démarrage - petite entreprise","Formation","FOR-0124","Service","Séance de démarrage - petite entreprise / jour","954,95","Revenus des dépenses facturables","Séance de démarrage - petite entreprise","496,57","Cost of Labour - COS","N"
"Panneau de brassage - fin de semaine","Réseau","RÉS-0125","Non-inventory","Panneau de brassage - fin de semaine","859,95","Sales","Panneau de brassage - fin de semaine","644,96","Supplies and materials - COS","N"
"Réinstallation de système - gamme B","Soutien technique","SOU-0126","Service","Réinstallation de système - gamme B / h","69,95","Services","Réinstallation de système - gamme B","32,18","Cost of Labour - COS","N"
"Installation sur place - 1 an","Livraison et déplacement","LIV-0127","Service","Installation sur place - 1 an","139,95","Shipping and Delivery Income","Installation sur place - 1 an","54,58","Freight and delivery - COS","N"
"Kilométrage - 3 ans","Livraison et déplacement","LIV-0128","Service","Kilométrage - 3 ans","74,95","Shipping and Delivery Income","Kilométrage - 3 ans","42,72","Freight and delivery - COS","N"
"Ordinateur portable 14 po - standard","Matériel informatique","MAT-0129","Non-inventory","Ordinateur portable 14 po - standard","2560,00","Revenus provenant de la vente de produits","Ordinateur portable 14 po - standard","1510,40","Purchases - COS","N"
"Configuration de poste - reconditionné","Soutien technique","SOU-0130","Service","Configuration de poste - reconditionné / h","119,95","Services","Configuration de poste - reconditionné","56,38","Cost of Labour - COS","N"
"Certification interne - petite entreprise","Formation","FOR-0131","Service","Certification interne - petite entreprise / jour","1790,00","Services","Certification interne - petite entreprise","662,30","Subcontractors - COS","N"
"Papier multiusage - essentiel","Fournitures","FOU-0132","Non-inventory","Papier multiusage - essentiel","79,95","Sales","Papier multiusage - essentiel","58,36","Coût des produits vendus","N"
"Mises à jour gérées - hors garantie","Entretien et contrats","ENT-0133","Service","Mises à jour gérées - hors garantie / mois","589,95","Services","Mises à jour gérées - hors garantie","259,58","Cost of Labour - COS","N"
"Licence de virtualisation - hors garantie","Licences et abonnements","LIC-0134","Non-inventory","Licence de virtualisation - hors garantie / an","194,95","Sales","Licence de virtualisation - hors garantie","138,41","Coût des produits vendus","N"
"Séance de démarrage - hors garantie","Formation","FOR-0135","Service","Séance de démarrage - hors garantie / jour","524,95","Services","Séance de démarrage - hors garantie","241,48","Cost of Labour - COS","N"
"Licence serveur","Licences et abonnements","LIC-0136","Non-inventory","Licence serveur / an","844,95","Sales","Licence serveur","557,67","Supplies and materials - COS","N"
"Audit de sécurité - urgence","Services professionnels","SER-0137","Service","Audit de sécurité - urgence / h","194,95","Services","Audit de sécurité - urgence","115,02","Cost of Labour - COS","N"
"Soutien téléphonique - avancé","Soutien technique","SOU-0138","Service","Soutien téléphonique - avancé / h","104,95","Services","Soutien téléphonique - avancé","56,67","Cost of Labour - COS","N"
"Onduleur 1500 VA - fin de semaine","Matériel informatique","MAT-0139","Non-inventory","Onduleur 1500 VA - fin de semaine","3040,00","Sales","Onduleur 1500 VA - fin de semaine","1854,40","Supplies and materials - COS","N"
"Coaching individuel - fin de semaine","Formation","FOR-0140","Service","Coaching individuel - fin de semaine / jour","1660,00","Services","Coaching individuel - fin de semaine","813,40","Cost of Labour - COS","N"
"Étiquettes adhésives - urgence","Fournitures","FOU-0141","Non-inventory","Étiquettes adhésives - urgence","19,95","Revenus provenant de la vente de produits","Étiquettes adhésives - urgence","14,16","Coût des produits vendus","N"
"Installation sur place - urgence","Livraison et déplacement","LIV-0142","Service","Installation sur place - urgence","44,95","Shipping and Delivery Income","Installation sur place - urgence","25,17","Freight and delivery - COS","N"
"Clé USB 64 Go - 1 an","Fournitures","FOU-0143","Non-inventory","Clé USB 64 Go - 1 an","89,95","Revenus provenant de la vente de produits","Clé USB 64 Go - 1 an","53,97","Purchases - COS","N"
"Développement de connecteur - 3 ans","Développement","DÉV-0144","Service","Développement de connecteur - 3 ans / h","164,95","Revenus des dépenses facturables","Développement de connecteur - 3 ans","64,33","Subcontractors - COS","N"
"Développement mobile - standard","Développement","DÉV-0145","Service","Développement mobile - standard / h","99,95","Revenus des dépenses facturables","Développement mobile - standard","43,98","Cost of Labour - COS","N"
"Surveillance de serveurs - gamme A","Soutien technique","SOU-0146","Service","Surveillance de serveurs - gamme A / h","114,95","Services","Surveillance de serveurs - gamme A","67,82","Subcontractors - COS","N"
"Boîtier de rangement - petite entreprise","Fournitures","FOU-0147","Non-inventory","Boîtier de rangement - petite entreprise","94,95","Revenus provenant de la vente de produits","Boîtier de rangement - petite entreprise","60,77","Coût des produits vendus","N"
