Id;AcctNum;Name;FullyQualifiedName;SubAccount;ParentRef.value;AccountType;AccountSubType;Classification;Description;CurrentBalance;CurrentBalanceWithSubAccounts;CurrencyRef.value;TaxCodeRef.value;Active;MetaData.CreateTime
56;;Merchant Account Fees;Merchant Account Fees;false;;Cost of Goods Sold;CostOfSales;Expense;;0;0;CAD;;true;2026-03-31T21:48:14-07:00
12;;Miscellaneous;Miscellaneous;false;;Other Expense;OtherMiscellaneousExpense;Expense;;0;0;CAD;;true;2026-02-24T11:22:22-08:00
57;;Note Payable;Note Payable;false;;Long Term Liability;NotesPayable;Liability;;-20101.86;-20101.86;CAD;;true;2026-03-31T21:48:14-07:00
13;;Office expenses;Office expenses;false;;Expense;SuppliesMaterials;Expense;;0;0;CAD;;true;2026-02-24T11:22:23-08:00
58;;Opening Balance Equity;Opening Balance Equity;false;;Equity;OpeningBalanceEquity;Equity;;0;0;CAD;;true;2026-03-31T21:48:14-07:00
14;;Other Portfolio Income;Other Portfolio Income;false;;Other Income;OtherInvestmentIncome;Revenue;;0;0;CAD;;true;2026-02-24T11:22:23-08:00
59;;Owner's Equity;Owner's Equity;false;;Equity;OwnersEquity;Equity;;0;0;CAD;;true;2026-03-31T21:48:14-07:00
80;;Owner's Equity - Contributions;Owner's Equity - Contributions;false;;Equity;OwnersEquity;Equity;;-12750.00;-12750.00;CAD;;true;2026-03-31T21:50:04-07:00
81;;Owner's Equity - Draws;Owner's Equity - Draws;false;;Equity;OwnersEquity;Equity;;2000.00;2000.00;CAD;;true;2026-03-31T21:50:04-07:00
15;;Penalties and settlements;Penalties and settlements;false;;Other Expense;PenaltiesSettlements;Expense;;0;0;CAD;;true;2026-02-24T11:22:23-08:00
16;;Prepaid expenses;Prepaid expenses;false;;Other Current Asset;PrepaidExpenses;Asset;;0;0;CAD;;true;2026-02-24T11:22:23-08:00
60;;Printed Materials purchased for clients;Printed Materials purchased for clients;false;;Cost of Goods Sold;CostOfSales;Expense;;0;0;CAD;;true;2026-03-31T21:48:14-07:00
61;;Printing and Reproduction;Printing and Reproduction;false;;Expense;OtherMiscellaneousServiceCost;Expense;;0;0;CAD;;true;2026-03-31T21:48:14-07:00
62;;Professional Fees;Professional Fees;false;;Expense;LegalProfessionalFees;Expense;;0;0;CAD;;true;2026-03-31T21:48:14-07:00
17;;Promotional;Promotional;false;;Expense;PromotionalMeals;Expense;;0;0;CAD;;true;2026-02-24T11:22:23-08:00
63;;Purchases;Purchases;false;;Expense;SuppliesMaterials;Expense;;0;0;CAD;;true;2026-03-31T21:48:14-07:00
18;;Refunds-Allowances;Refunds-Allowances;false;;Income;DiscountsRefundsGiven;Revenue;;0;0;CAD;;true;2026-02-24T11:22:23-08:00
64;;Rent Expense;Rent Expense;false;;Expense;RentOrLeaseOfBuildings;Expense;;0;0;CAD;;true;2026-03-31T21:48:14-07:00
19;;Rent or lease payments;Rent or lease payments;false;;Expense;RentOrLeaseOfBuildings;Expense;;0;0;CAD;;true;2026-02-24T11:22:23-08:00
20;;Repair and maintenance;Repair and maintenance;false;;Expense;RepairMaintenance;Expense;;0;0;CAD;;true;2026-02-24T11:22:23-08:00
2;;Retained Earnings;Retained Earnings;false;;Equity;RetainedEarnings;Equity;;0;0;CAD;;true;2026-02-24T10:27:10-08:00
65;;Sales;Sales;false;;Income;OtherPrimaryIncome;Revenue;;0;0;CAD;;true;2026-03-31T21:48:15-07:00
66;;Sales Discounts;Sales Discounts;false;;Income;DiscountsRefundsGiven;Revenue;;0;0;CAD;;true;2026-03-31T21:48:15-07:00
67;;Sales of Product Income;Sales of Product Income;false;;Income;SalesOfProductIncome;Revenue;;0;0;CAD;;true;2026-03-31T21:48:15-07:00
1;;Services;Services;false;;Income;ServiceFeeIncome;Revenue;;0;0;CAD;;true;2026-02-24T10:27:10-08:00
21;;Stationery and printing;Stationery and printing;false;;Expense;SuppliesMaterials;Expense;;0;0;CAD;;true;2026-02-24T11:22:24-08:00
68;;Subcontracted Services;Subcontracted Services;false;;Expense;CostOfLabor;Expense;;0;0;CAD;;true;2026-03-31T21:48:15-07:00
22;;Supplies;Supplies;false;;Expense;SuppliesMaterials;Expense;;0;0;CAD;;true;2026-02-24T11:22:24-08:00
69;;Taxes - Property;Taxes - Property;false;;Expense;TaxesPaid;Expense;;0;0;CAD;;true;2026-03-31T21:48:15-07:00
23;;Taxes and Licenses;Taxes and Licenses;false;;Expense;TaxesPaid;Expense;;0;0;CAD;;true;2026-02-24T11:22:24-08:00
70;;Telephone Expense;Telephone Expense;false;;Expense;OtherMiscellaneousServiceCost;Expense;;0;0;CAD;;true;2026-03-31T21:48:15-07:00
24;;Travel;Travel;false;;Expense;TravelMeals;Expense;;0;0;CAD;;true;2026-02-24T11:22:24-08:00
71;;Travel Expense;Travel Expense;false;;Expense;TravelMeals;Expense;;0;0;CAD;;true;2026-03-31T21:48:16-07:00
25;;Travel meals;Travel meals;false;;Expense;TravelMeals;Expense;;0;0;CAD;;true;2026-02-24T11:22:24-08:00
72;;Unapplied Cash Bill Payment Expense;Unapplied Cash Bill Payment Expense;false;;Expense;UnappliedCashBillPaymentExpense;Expense;;0;0;CAD;;true;2026-03-31T21:48:16-07:00
73;;Unapplied Cash Payment Income;Unapplied Cash Payment Income;false;;Income;UnappliedCashPaymentIncome;Revenue;;0;0;CAD;;true;2026-03-31T21:48:16-07:00
74;;Uncategorised Asset;Uncategorised Asset;false;;Other Current Asset;OtherCurrentAssets;Asset;;0;0;CAD;;true;2026-03-31T21:48:16-07:00
75;;Uncategorised Expense;Uncategorised Expense;false;;Expense;OtherMiscellaneousServiceCost;Expense;;0;0;CAD;;true;2026-03-31T21:48:16-07:00
76;;Uncategorised Income;Uncategorised Income;false;;Income;OtherPrimaryIncome;Revenue;;0;0;CAD;;true;2026-03-31T21:48:16-07:00
93;;Uncategorized Asset;Uncategorized Asset;false;;Other Current Asset;OtherCurrentAssets;Asset;;0;0;CAD;;true;2026-04-01T12:04:25-07:00
95;;Uncategorized Expense;Uncategorized Expense;false;;Expense;OtherMiscellaneousServiceCost;Expense;;0;0;CAD;;true;2026-04-01T12:27:54-07:00
94;;Uncategorized Income;Uncategorized Income;false;;Income;ServiceFeeIncome;Revenue;;0;0;CAD;;true;2026-04-01T12:27:53-07:00
26;;Undeposited Funds;Undeposited Funds;false;;Other Current Asset;UndepositedFunds;Asset;;0;0;CAD;;true;2026-02-24T11:22:24-08:00
27;;Utilities;Utilities;false;;Expense;Utilities;Expense;;0;0;CAD;;true;2026-02-24T11:22:24-08:00
82;;Utilities - Electric & Gas;Utilities - Electric & Gas;false;;Expense;Utilities;Expense;;0;0;CAD;;true;2026-03-31T21:50:04-07:00
83;;Utilities - Water;Utilities - Water;false;;Expense;Utilities;Expense;;0;0;CAD;;true;2026-03-31T21:50:04-07:00
77;;Vehicles;Vehicles;false;;Fixed Asset;Vehicles;Asset;;0;0;CAD;;true;2026-03-31T21:48:16-07:00
78;;Venue Fees paid on behalf of clients;Venue Fees paid on behalf of clients;false;;Cost of Goods Sold;CostOfSales;Expense;;0;0;CAD;;true;2026-03-31T21:48:16-07:00
79;;Visa Credit Card;Visa Credit Card;false;;Credit Card;CreditCard;Liability;;-2077.60;-2077.60;CAD;;true;2026-03-31T21:48:16-07:00
