Id;Name;FullyQualifiedName;Sku;Type;Description;PurchaseDesc;UnitPrice;PurchaseCost;IncomeAccountRef.value;IncomeAccountRef.name;ExpenseAccountRef.value;ExpenseAccountRef.name;AssetAccountRef.value;AssetAccountRef.name;Taxable;SalesTaxIncluded;PurchaseTaxIncluded;SalesTaxCodeRef.value;PurchaseTaxCodeRef.value;TrackQtyOnHand;QtyOnHand;ReorderPoint;InvStartDate;SubItem;ParentRef.value;ParentRef.name;Level;PrefVendorRef.value;PrefVendorRef.name;Active;MetaData.CreateTime;MetaData.LastUpdatedTime
18;Venue Rental;General services:Venue Rental;;Service;Venue rental;Venue Rental;0;0;35;Billable Expenses Income;44;Cost of Sales - billable expenses;;;false;false;false;;;false;;;;true;22;General services;1;;;true;2026-03-31T21:57:08-07:00;2026-05-04T09:32:21-07:00
20;Water Bottles - Generic;General services:Water Bottles - Generic;WB-1866;Inventory;Water bottles - generic;Water bottles - generic;10;5;67;Sales of Product Income;84;Cost of Goods Sold;85;Inventory Asset;false;false;false;5;2;true;550;;2026-08-20;true;22;General services;1;;;true;2026-03-31T23:04:32-07:00;2026-05-04T09:36:21-07:00
24;Holiday party;Holiday party;;Category;;;;;;;;;;;;;;;;;;;;;;;;;;true;2026-05-04T09:30:57-07:00;2026-05-04T09:32:47-07:00
8;Gold party;Holiday party:Gold party;;Service;Holiday party - gold level;;2000;0;65;Sales;63;Purchases;;;false;false;false;;;false;;;;true;24;Holiday party;1;;;true;2026-03-31T21:57:07-07:00;2026-05-04T09:33:39-07:00
9;Platinum party;Holiday party:Platinum party;;Service;Holiday party - platinum level;;3000;0;65;Sales;63;Purchases;;;false;false;false;;;false;;;;true;24;Holiday party;1;;;true;2026-03-31T21:57:07-07:00;2026-05-04T09:33:54-07:00
10;Silver party;Holiday party:Silver party;;Service;Holiday party - silver level;;1000;0;65;Sales;63;Purchases;;;false;false;false;;;false;;;;true;24;Holiday party;1;;;true;2026-03-31T21:57:07-07:00;2026-05-04T09:34:10-07:00
25;Promotional items;Promotional items;;Category;;;;;;;;;;;;;;;;;;;;;;;;;;true;2026-05-04T09:31:08-07:00;2026-05-04T09:33:08-07:00
13;Misc;Promotional items:Misc;;Service;promotional items -- misc engraved items;promotional items -- misc engraved items;0;0;35;Billable Expenses Income;44;Cost of Sales - billable expenses;;;false;false;false;;;false;;;;true;25;Promotional items;1;;;true;2026-03-31T21:57:08-07:00;2026-05-04T09:34:37-07:00
12;Pad folios;Promotional items:Pad folios;;Service;Promotional items - engraved padfolios;Promotional items - engraved padfolios;15;7.5;35;Billable Expenses Income;44;Cost of Sales - billable expenses;;;false;false;false;;;false;;;;true;25;Promotional items;1;;;true;2026-03-31T21:57:08-07:00;2026-05-04T09:34:27-07:00
14;Pens;Promotional items:Pens;;Service;Promotional items -- pens engraved;Promotional items -- pens engraved;8;4;35;Billable Expenses Income;44;Cost of Sales - billable expenses;;;false;false;false;;;false;;;;true;25;Promotional items;1;;;true;2026-03-31T21:57:08-07:00;2026-05-04T09:35:05-07:00
26;Retreat;Retreat;;Category;;;;;;;;;;;;;;;;;;;;;;;;;;true;2026-05-04T09:31:19-07:00;2026-05-04T09:33:18-07:00
15;Gold retreat;Retreat:Gold retreat;;Service;Retreat - gold level;;2000;0;65;Sales;63;Purchases;;;false;false;false;;;false;;;;true;26;Retreat;1;;;true;2026-03-31T21:57:08-07:00;2026-05-04T09:35:28-07:00
16;Platinum retreat;Retreat:Platinum retreat;;Service;Retreat - platinum level;;5000;0;65;Sales;63;Purchases;;;false;false;false;;;false;;;;true;26;Retreat;1;;;true;2026-03-31T21:57:08-07:00;2026-05-04T09:35:41-07:00
17;Silver retreat;Retreat:Silver retreat;;Service;Retreat - silver level;;1000;0;65;Sales;63;Purchases;;;false;false;false;;;false;;;;true;26;Retreat;1;;;true;2026-03-31T21:57:08-07:00;2026-05-04T09:35:50-07:00
19;Water Bottles (deleted);Water Bottles (deleted);;Inventory;Water bottles -- generic;Water bottles -- generic;10;5;67;Sales of Product Income;43;Cost of sales;85;Inventory Asset;false;false;false;;;true;0;;2026-03-31;;;;;;;false;2026-03-31T21:57:09-07:00;2026-04-01T13:56:17-07:00
