Parent.Id;Parent.DocNumber;Parent.TxnDate;GroupLine.Id;Id;LineNum;DetailType;Description;Amount;SalesItemLineDetail.ItemRef.value;SalesItemLineDetail.ItemRef.name;SalesItemLineDetail.Qty;SalesItemLineDetail.UnitPrice;SalesItemLineDetail.TaxCodeRef.value;SalesItemLineDetail.ServiceDate;SalesItemLineDetail.ItemAccountRef.value;SalesItemLineDetail.ItemAccountRef.name;SalesItemLineDetail.ClassRef.name;SalesItemLineDetail.DiscountRate;SalesItemLineDetail.DiscountAmt;DiscountLineDetail.PercentBased;DiscountLineDetail.DiscountPercent;DiscountLineDetail.DiscountAccountRef.value;DiscountLineDetail.DiscountAccountRef.name;GroupLineDetail.GroupItemRef.value;GroupLineDetail.GroupItemRef.name;GroupLineDetail.Quantity
123;1002;2026-08-09;;2;2;SalesItemLineDetail;promotional items -- misc engraved items - Camelbak water bottles engraved;1000.00;13;Promotional items:Misc;100;10;5;;35;Billable Expenses Income;;;;;;;;;;
123;1002;2026-08-09;;3;3;SalesItemLineDetail;Venue rental;5000.00;18;General services:Venue Rental;1;5000;5;;35;Billable Expenses Income;;;;;;;;;;
123;1002;2026-08-09;;;;SubTotalLineDetail;;9000.00;;;;;;;;;;;;;;;;;;
124;1003;2025-09-18;;1;1;SalesItemLineDetail;Employee training off site;1500.00;5;Employee events:Employee Training;1;1500;5;;65;Sales;;;;;;;;;;
124;1003;2025-09-18;;2;2;SalesItemLineDetail;Promotional items - engraved padfolios;112.50;12;Promotional items:Pad folios;15;7.5;5;2026-09-13;35;Billable Expenses Income;;;;;;;;;;
124;1003;2025-09-18;;3;3;SalesItemLineDetail;100% markup for Promotional items - engraved padfolios;112.50;;;;;5;2026-09-13;29;Markup;;;;;;;;;;
124;1003;2025-09-18;;4;4;SalesItemLineDetail;Promotional items -- pens engraved;60.00;14;Promotional items:Pens;15;4;5;2026-09-13;35;Billable Expenses Income;;;;;;;;;;
124;1003;2025-09-18;;5;5;SalesItemLineDetail;100% markup for Promotional items -- pens engraved;60.00;;;;;5;2026-09-13;29;Markup;;;;;;;;;;
124;1003;2025-09-18;;6;6;SalesItemLineDetail;promotional items -- misc engraved items;101.25;13;Promotional items:Misc;15;6.75;5;2026-09-13;35;Billable Expenses Income;;;;;;;;;;
124;1003;2025-09-18;;7;7;SalesItemLineDetail;Catering -- food & beverage;700.00;3;General services:Catering;20;35;5;2025-09-18;35;Billable Expenses Income;;;;;;;;;;
124;1003;2025-09-18;;8;8;SalesItemLineDetail;20% markup for Catering -- food & beverage;140.00;;;;;5;2025-09-18;29;Markup;;;;;;;;;;
124;1003;2025-09-18;;9;9;SalesItemLineDetail;Venue Rental;750.00;18;General services:Venue Rental;1;750;5;2025-09-18;35;Billable Expenses Income;;;;;;;;;;
124;1003;2025-09-18;;10;10;SalesItemLineDetail;20% markup for Venue Rental;150.00;;;;;5;2025-09-18;29;Markup;;;;;;;;;;
124;1003;2025-09-18;;;;SubTotalLineDetail;;3686.25;;;;;;;;;;;;;;;;;;
126;1005;2025-10-24;;1;1;SalesItemLineDetail;Retreat - platinum level;5000.00;16;Retreat:Platinum retreat;1;5000;5;;65;Sales;;;;;;;;;;
126;1005;2025-10-24;;2;2;SalesItemLineDetail;Promotional items - engraved padfolios;187.50;12;Promotional items:Pad folios;25;7.5;5;2025-10-24;35;Billable Expenses Income;;;;;;;;;;
126;1005;2025-10-24;;3;3;SalesItemLineDetail;100% markup for Promotional items - engraved padfolios;187.50;;;;;5;2025-10-24;29;Markup;;;;;;;;;;
126;1005;2025-10-24;;4;4;SalesItemLineDetail;Promotional items -- pens engraved;100.00;14;Promotional items:Pens;25;4;5;2025-10-24;35;Billable Expenses Income;;;;;;;;;;
126;1005;2025-10-24;;5;5;SalesItemLineDetail;100% markup for Promotional items -- pens engraved;100.00;;;;;5;2025-10-24;29;Markup;;;;;;;;;;
126;1005;2025-10-24;;6;6;SalesItemLineDetail;promotional items -- misc engraved items;83.25;13;Promotional items:Misc;25;3.33;5;2025-10-24;35;Billable Expenses Income;;;;;;;;;;
126;1005;2025-10-24;;7;7;SalesItemLineDetail;100% markup for promotional items -- misc engraved items;83.25;;;;;5;2025-10-24;29;Markup;;;;;;;;;;
126;1005;2025-10-24;;8;8;SalesItemLineDetail;Catering -- food & beverage;1062.50;3;General services:Catering;25;42.5;5;2025-11-07;35;Billable Expenses Income;;;;;;;;;;
126;1005;2025-10-24;;9;9;SalesItemLineDetail;20% markup for Catering -- food & beverage;212.50;;;;;5;2025-11-07;29;Markup;;;;;;;;;;
126;1005;2025-10-24;;10;10;SalesItemLineDetail;Venue Rental;1000.00;18;General services:Venue Rental;1;1000;5;2025-11-07;35;Billable Expenses Income;;;;;;;;;;
126;1005;2025-10-24;;11;11;SalesItemLineDetail;20% markup for Venue Rental;200.00;;;;;5;2025-11-07;29;Markup;;;;;;;;;;
126;1005;2025-10-24;;;;SubTotalLineDetail;;8216.50;;;;;;;;;;;;;;;;;;
127;1006;2025-12-22;;1;1;SalesItemLineDetail;Retreat - gold level;2000.00;15;Retreat:Gold retreat;1;2000;5;;65;Sales;;;;;;;;;;
127;1006;2025-12-22;;2;2;SalesItemLineDetail;Promotional items - engraved padfolios;375.00;12;Promotional items:Pad folios;50;7.5;5;2025-11-16;35;Billable Expenses Income;;;;;;;;;;
127;1006;2025-12-22;;3;3;SalesItemLineDetail;100% markup for Promotional items - engraved padfolios;375.00;;;;;5;2025-11-16;29;Markup;;;;;;;;;;
127;1006;2025-12-22;;4;4;SalesItemLineDetail;Promotional items -- pens engraved;200.00;14;Promotional items:Pens;50;4;5;2025-11-16;35;Billable Expenses Income;;;;;;;;;;
127;1006;2025-12-22;;5;5;SalesItemLineDetail;100% markup for Promotional items -- pens engraved;200.00;;;;;5;2025-11-16;29;Markup;;;;;;;;;;
127;1006;2025-12-22;;6;6;SalesItemLineDetail;promotional items -- misc engraved items;166.50;13;Promotional items:Misc;50;3.33;5;2025-11-16;35;Billable Expenses Income;;;;;;;;;;
127;1006;2025-12-22;;7;7;SalesItemLineDetail;20% markup for promotional items -- misc engraved items;33.30;;;;;5;2025-11-16;29;Markup;;;;;;;;;;
127;1006;2025-12-22;;8;8;SalesItemLineDetail;Catering -- food & beverage;3750.00;3;General services:Catering;50;75;5;2025-12-15;35;Billable Expenses Income;;;;;;;;;;
127;1006;2025-12-22;;9;9;SalesItemLineDetail;20% markup for Catering -- food & beverage;750.00;;;;;5;2025-12-15;29;Markup;;;;;;;;;;
127;1006;2025-12-22;;10;10;SalesItemLineDetail;Venue Rental;1000.00;18;General services:Venue Rental;1;1000;5;2025-12-15;35;Billable Expenses Income;;;;;;;;;;
127;1006;2025-12-22;;11;11;SalesItemLineDetail;20% markup for Venue Rental;200.00;;;;;5;2025-12-15;29;Markup;;;;;;;;;;
127;1006;2025-12-22;;;;SubTotalLineDetail;;9049.80;;;;;;;;;;;;;;;;;;
132;1011;2026-03-18;;1;1;SalesItemLineDetail;consult on event options and considerations;400.00;1;General services:Services;2;200;5;;1;Services;;;;;;;;;;
132;1011;2026-03-18;;;;SubTotalLineDetail;;400.00;;;;;;;;;;;;;;;;;;
131;1010;2026-03-18;;1;1;SalesItemLineDetail;Name Badges;1500.00;21;General services:Badges:Name Badges;500;3;5;;67;Sales of Product Income;;;;;;;;;;
131;1010;2026-03-18;;;;SubTotalLineDetail;;1500.00;;;;;;;;;;;;;;;;;;
130;1009;2026-02-16;;1;1;SalesItemLineDetail;Name Badges;1500.00;21;General services:Badges:Name Badges;500;3;5;;67;Sales of Product Income;;;;;;;;;;
130;1009;2026-02-16;;2;2;SalesItemLineDetail;Water bottles - generic;5000.00;20;General services:Water Bottles - Generic;500;10;5;;67;Sales of Product Income;;;;;;;;;;
130;1009;2026-02-16;;;;SubTotalLineDetail;;6500.00;;;;;;;;;;;;;;;;;;
129;1008;2026-02-16;;1;1;SalesItemLineDetail;consulting for their upcoming event;800.00;1;General services:Services;4;200;5;;1;Services;;;;;;;;;;
129;1008;2026-02-16;;;;SubTotalLineDetail;;800.00;;;;;;;;;;;;;;;;;;
